Gender,Religious Affiliation,Visa Type,Nation of Birth,Nation of Citizenship,Residence Hall/Commuter,# Prev Terms in Res Hall,Current Time Status,Level,Class,Student Type,Program,Outcome,majr,GPA (Inst),GPA Credits (Inst),New/Returning
Female,Decline to Respond,F1,China,China,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(BU_BA_MS) MS - Business Analytics,MS - Master of Science,(BUAT) Business Analytics,,0,New
Male,Decline to Respond,F1,India,India,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(SE_GR_MS) MS - Software Engineering,MS - Master of Science,(MSIT) Information Technology,,0,New
Male,Decline to Respond,F1,Cote d'Ivoire,Cote d'Ivoire,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(BU_BA_MS) MS - Business Analytics,MS - Master of Science,(BUAT) Business Analytics,,0,New
Female,Decline to Respond,F1,Germany,Poland,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(BU_BA_MS) MS - Business Analytics,MS - Master of Science,(BUAT) Business Analytics,,0,New
Male,Decline to Respond,F1,India,India,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(SE_GR_MS) MS - Software Engineering,MS - Master of Science,(MSSE) Software Engineering,,0,New
Male,Decline to Respond,F1,"Congo, Democratic Rep of the","Congo, Democratic Rep of the",Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(SE_GR_MS) MS - Software Engineering,MS - Master of Science,(MSSE) Software Engineering,,0,New
Male,Decline to Respond,F1,India,India,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(ED_EL_MA) MA - Ed. Leadership,MA - Master of Arts,(EDSA) Leadership In Student Affairs,,0,New
Male,Roman Catholic,F1,Ecuador,Ecuador,Commuter,0,Full-Time,Graduate,GR - Graduate Student,Former Student (non-Vet),(ET_GR_MS) MS - Engineering & Tech. Mgmt.,MS - Master of Science,(MSRS) Regulatory Science,,0,New
Female,Decline to Respond,F1,Brazil,Brazil,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(SE_GR_MS) MS - Software Engineering,MS - Master of Science,(MSDS) Data Science,,0,New
Male,Decline to Respond,F1,Nigeria,Nigeria,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(SE_GR_MS) MS - Software Engineering,MS - Master of Science,(MSDS) Data Science,,0,New
Female,Decline to Respond,F1,China,China,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(SE_GR_MS) MS - Software Engineering,MS - Master of Science,(MSDS) Data Science,,0,New
Female,Decline to Respond,F1,India,India,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(BU_PT_MBA) MBA - Part-Time MBA,MBA - Master-Business Administration,(PTMB) Business Administration,,0,New
Male,Decline to Respond,F1,Nepal,Nepal,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(SE_GR_MS) MS - Software Engineering,MS - Master of Science,(MSDS) Data Science,,0,New
Female,Decline to Respond,F1,India,India,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(SE_GR_MS) MS - Software Engineering,MS - Master of Science,(MSDS) Data Science,,0,New
Female,Decline to Respond,F1,Nepal,Nepal,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(SE_GR_MS) MS - Software Engineering,MS - Master of Science,(MSDS) Data Science,,0,New
Female,Decline to Respond,F1,Viet Nam,Viet Nam,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(SE_GR_MS) MS - Software Engineering,MS - Master of Science,(MSDS) Data Science,,0,New
Male,Decline to Respond,F1,Turkmenistan,Turkmenistan,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(SE_GR_MS) MS - Software Engineering,MS - Master of Science,(MSDS) Data Science,,0,New
Male,Decline to Respond,F1,Cote d'Ivoire,Cote d'Ivoire,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(BU_BA_MS) MS - Business Analytics,MS - Master of Science,(BUAT) Business Analytics,,0,New
Male,Decline to Respond,F1,Italy,Italy,Commuter,10,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(ET_GR_MS) MS - Engineering & Tech. Mgmt.,MS - Master of Science,(MSYE) Systems Engineering,,0,New
Male,Decline to Respond,F1,China,China,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(SE_GR_MS) MS - Software Engineering,MS - Master of Science,(MSSE) Software Engineering,,0,New
Female,Decline to Respond,F1,China,China,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(SE_GR_MS) MS - Software Engineering,MS - Master of Science,(MSDS) Data Science,,0,New
Male,Decline to Respond,F1,Cameroon,Cameroon,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(DV_TH_MA) MA - Theology,MA - Master of Arts,(MTHL) Theology,,0,New
Male,Decline to Respond,F1,Uganda,Uganda,2171 Grand Residence,17,Full-Time,Graduate,GR - Graduate Student,Continuing Student,(SE_GR_MS) MS - Software Engineering,MS - Master of Science,(MSSE) Software Engineering,,0,New
Female,Decline to Respond,F1,China,China,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(BU_BA_MS) MS - Business Analytics,MS - Master of Science,(BUAT) Business Analytics,,0,New
Female,Decline to Respond,F1,China,China,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(BU_BA_MS) MS - Business Analytics,MS - Master of Science,(BUAT) Business Analytics,,0,New
Female,Decline to Respond,F1,China,China,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(BU_BA_MS) MS - Business Analytics,MS - Master of Science,(BUAT) Business Analytics,,0,New
Male,Decline to Respond,F1,Brazil,Brazil,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(BU_BA_MS) MS - Business Analytics,MS - Master of Science,(BUAT) Business Analytics,,0,New
Female,Decline to Respond,F1,China,China,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(BU_BA_MS) MS - Business Analytics,MS - Master of Science,(BUAT) Business Analytics,,0,New
Male,,F1,Saudi Arabia,Saudi Arabia,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(SE_GR_MS) MS - Software Engineering,MS - Master of Science,(MSSE) Software Engineering,,0,New
Male,Decline to Respond,F1,Saudi Arabia,Saudi Arabia,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(ET_GR_MS) MS - Engineering & Tech. Mgmt.,MS - Master of Science,(MSME) Mechanical Engineering,,0,New
Male,Decline to Respond,F1,Saudi Arabia,Saudi Arabia,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(ET_GR_MS) MS - Engineering & Tech. Mgmt.,MS - Master of Science,(MSME) Mechanical Engineering,,0,New
Male,Decline to Respond,F1,Saudi Arabia,Saudi Arabia,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(ET_GR_MS) MS - Engineering & Tech. Mgmt.,MS - Master of Science,(MSME) Mechanical Engineering,,0,New
Male,Decline to Respond,F1,Greece,Greece,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(PS_DA_MA) MA - Psych PsyD Direct Admit,MA - Master of Arts,(CPSY) Counseling Psychology,,0,New
Male,Decline to Respond,F1,China,China,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(BU_BA_MS) MS - Business Analytics,MS - Master of Science,(BUAT) Business Analytics,,0,New
Female,,F1,Brazil,Brazil,Commuter,0,"Three-Quarter Time ""Q""",Graduate,L1 - Law Year 1,New First Time Student,(LW_GR_JD) JD - School of Law,JD - Juris Doctor,(LAWS) Law,,0,New
Male,Muslim,F1,Pakistan,Pakistan,Commuter,0,Full-Time,Undergraduate,FR - UG Freshman,New First Time Student,(AS_UN_BA) Undeclared BA,BA - Bachelor of Arts,(BUFI) Bus Admin - Financial Mgmt,,0,New
Male,,F1,Honduras,Honduras,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(LW_GR_LLM) Master of Laws,LLM - Legum Magister,(LAUS) U.S. Law,,0,New
Male,,F1,India,India,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(LW_GR_LLM) Master of Laws,LLM - Legum Magister,(LAUS) U.S. Law,,0,New
Female,Decline to Respond,F1,China,China,Commuter,0,Full-Time,Undergraduate,FR - UG Freshman,New First Time Student,(AS_UN_BA) Undeclared BA,BA - Bachelor of Arts,(BUGB) Bus Admin - Gen Business Mgmt,,0,New
Male,Buddhist,F1,Cambodia,Cambodia,Commuter,0,Full-Time,Undergraduate,JR - UG Junior,Transfer Student with Credits,(AS_UN_BA) Undeclared BA,BA - Bachelor of Arts,(BUGB) Bus Admin - Gen Business Mgmt,,0,New
Female,,F1,China,China,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(LW_GR_LLM) Master of Laws,LLM - Legum Magister,(LAUS) U.S. Law,,0,New
Female,Roman Catholic,F1,Mexico,Canada,Commuter,0,Full-Time,Undergraduate,FR - UG Freshman,New First Time Student,(AS_UN_BA) Undeclared BA,BA - Bachelor of Arts,(UNDC) Undecided,,0,New
Female,Orthodox Christian,F1,Ethiopia,Ethiopia,Morrison Residence Hall,0,Full-Time,Undergraduate,FR - UG Freshman,New First Time Student,(AS_UN_BS) Undeclared BS,BS - Bachelor of Science,(CSBS) Computer Science (BS),,0,New
Male,Other Christian,F1,Brazil,Brazil,Commuter,0,Full-Time,Undergraduate,FR - UG Freshman,New First Time Student,(AS_UN_BA) Undeclared BA,BA - Bachelor of Arts,(BUEN) Bus Admin - Entrepreneurship,,0,New
Female,Roman Catholic,F1,Viet Nam,Viet Nam,Commuter,0,Full-Time,Undergraduate,JR - UG Junior,Transfer Student with Credits,(AS_UN_BS) Undeclared BS,BS - Bachelor of Science,(ACSC) Actuarial Science,,0,New
Male,,F1,Chile,Chile,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(LW_GR_LLM) Master of Laws,LLM - Legum Magister,(LAUS) U.S. Law,,0,New
Male,Other Christian,F1,Norway,Norway,Morrison Residence Hall,0,Full-Time,Undergraduate,SO - UG Sophomore,Transfer Student with Credits,(AS_UN_BSCPE) Undeclared BSCPE,BSCPE - BS in Computer Engineering,(COEN) Computer Engineering,,0,New
Female,,F1,Mexico,Mexico,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(LW_GR_LLM) Master of Laws,LLM - Legum Magister,(LAUS) U.S. Law,,0,New
Female,,F1,Guatemala,Guatemala,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(LW_GR_LLM) Master of Laws,LLM - Legum Magister,(LAUS) U.S. Law,,0,New
Female,,F1,China,China,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(LW_GR_LLM) Master of Laws,LLM - Legum Magister,(LAUS) U.S. Law,,0,New
Male,Decline to Respond,F1,Norway,Norway,Flynn Residence Hall,0,Full-Time,Undergraduate,FR - UG Freshman,Transfer Student with Credits,(AS_UN_BSCPE) Undeclared BSCPE,BSCPE - BS in Computer Engineering,(COEN) Computer Engineering,,0,New
Male,No Religious Affiliation,F1,Viet Nam,Viet Nam,Flynn Residence Hall,0,Full-Time,Undergraduate,FR - UG Freshman,New First Time Student,(AS_UN_BSCE) Undeclared BSCE,BSCVE - BS Civil Engineering,(CENG) Civil Engineering,,0,New
Female,,F1,Peru,Peru,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(LW_GR_LLM) Master of Laws,LLM - Legum Magister,(LAUS) U.S. Law,,0,New
Male,,F1,China,China,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(LW_GR_LLM) Master of Laws,LLM - Legum Magister,(LAUS) U.S. Law,,0,New
Male,,F1,Brazil,Brazil,Commuter,0,Full-Time,Graduate,L1 - Law Year 1,New First Time Student,(LW_GR_JD) JD - School of Law,JD - Juris Doctor,(LAWS) Law,,0,New
Male,,F1,Peru,Peru,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(LW_GR_LLM) Master of Laws,LLM - Legum Magister,(LAUS) U.S. Law,,0,New
Male,Roman Catholic,F1,Mexico,Mexico,St. Paul Sem Residence,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(DV_SM_DIV) M.Div. - Seminary,DIV - Master of Divinity,(MDIV) Divinity - Seminarians,,0,New
Female,Roman Catholic,F1,Colombia,Colombia,Grace Residence Hall,0,Full-Time,Undergraduate,FR - UG Freshman,New First Time Student,(AS_UN_BA) Undeclared BA,BA - Bachelor of Arts,(BIOL) Biology,,0,New
Male,,F1,Spain,Spain,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(LW_GR_LLM) Master of Laws,LLM - Legum Magister,(LAUS) U.S. Law,,0,New
Female,,F1,Brazil,Brazil,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(LW_GR_LLM) Master of Laws,LLM - Legum Magister,(LAUS) U.S. Law,,0,New
Male,,F1,Chile,Chile,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(LW_GR_LLM) Master of Laws,LLM - Legum Magister,(LAUS) U.S. Law,,0,New
Female,,F1,Peru,Peru,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(LW_GR_LLM) Master of Laws,LLM - Legum Magister,(LAUS) U.S. Law,,0,New
Female,,F1,Ethiopia,Ethiopia,Commuter,0,Full-Time,Graduate,L1 - Law Year 1,New First Time Student,(LW_GR_JD) JD - School of Law,JD - Juris Doctor,(LAWS) Law,,0,New
Male,,F1,China,China,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(LW_GR_LLM) Master of Laws,LLM - Legum Magister,(LAUS) U.S. Law,,0,New
Female,,F1,Peru,Peru,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(LW_GR_LLM) Master of Laws,LLM - Legum Magister,(LAUS) U.S. Law,,0,New
Female,,F1,Peru,Peru,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(LW_GR_LLM) Master of Laws,LLM - Legum Magister,(LAUS) U.S. Law,,0,New
Female,,F1,China,China,Commuter,0,Full-Time,Graduate,L1 - Law Year 1,New First Time Student,(LW_GR_JD) JD - School of Law,JD - Juris Doctor,(LAWS) Law,,0,New
Male,,F1,Peru,Peru,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(LW_GR_LLM) Master of Laws,LLM - Legum Magister,(LAUS) U.S. Law,,0,New
Male,,F1,Spain,Spain,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(LW_GR_LLM) Master of Laws,LLM - Legum Magister,(LAUS) U.S. Law,,0,New
Male,,F1,China,China,Commuter,0,Full-Time,Graduate,L1 - Law Year 1,New First Time Student,(LW_GR_JD) JD - School of Law,JD - Juris Doctor,(LAWS) Law,,0,New
Male,Other Christian,F1,Ethiopia,Ethiopia,Commuter,0,Full-Time,Undergraduate,JR - UG Junior,Transfer Student with Credits,(AS_UN_BS) Undeclared BS,BS - Bachelor of Science,(CSBS) Computer Science (BS),,0,New
Female,No Religious Affiliation,F1,Germany,Germany,Commuter,0,Full-Time,Undergraduate,FR - UG Freshman,New First Time Student,(AS_UN_BA) Undeclared BA,BA - Bachelor of Arts,(BUIB) Bus Admin - Intl Business,,0,New
Male,Roman Catholic,F1,Bolivia,Bolivia,Morrison Residence Hall,0,Full-Time,Undergraduate,FR - UG Freshman,New First Time Student,(AS_UN_BSME) Undeclared BSME,BSME - BS in Mechanical Engineering,(EGM1) Mechanical Engineering,,0,New
Female,Decline to Respond,F1,China,China,Flynn Residence Hall,0,Full-Time,Undergraduate,FR - UG Freshman,New First Time Student,(AS_UN_BA) Undeclared BA,BA - Bachelor of Arts,(ECON) Economics,,0,New
Male,Baptist,F1,China,China,Morrison Residence Hall,0,Full-Time,Undergraduate,SO - UG Sophomore,Transfer Student with Credits,(AS_UN_BA) Undeclared BA,BA - Bachelor of Arts,(BUFI) Bus Admin - Financial Mgmt,,0,New
Female,No Religious Affiliation,F1,Viet Nam,Viet Nam,Commuter,0,Full-Time,Undergraduate,FR - UG Freshman,New First Time Student,(AS_UN_BS) Undeclared BS,BS - Bachelor of Science,(BCH1) Biochemistry,,0,New
Male,Decline to Respond,F1,China,China,Commuter,0,Full-Time,Undergraduate,FR - UG Freshman,New First Time Student,(AS_UN_BA) Undeclared BA,BA - Bachelor of Arts,(BUEN) Bus Admin - Entrepreneurship,,0,New
Female,Lutheran (non-ELCA),F1,Norway,Norway,Flynn Residence Hall,0,Full-Time,Undergraduate,FR - UG Freshman,New First Time Student,(AS_UN_BS) Undeclared BS,BS - Bachelor of Science,(PEH1) Health Promotion,,0,New
Male,Roman Catholic,F1,Mexico,Canada,Commuter,0,Full-Time,Undergraduate,FR - UG Freshman,New First Time Student,(AS_UN_BA) Undeclared BA,BA - Bachelor of Arts,(POLS) Political Science,,0,New
Female,No Religious Affiliation,F1,Norway,Norway,Morrison Residence Hall,0,Full-Time,Undergraduate,FR - UG Freshman,New First Time Student,(AS_UN_BA) Undeclared BA,BA - Bachelor of Arts,(BUMK) Bus Admin - Marketing Mgmt,,0,New
Female,Decline to Respond,F1,United Kingdom,United Kingdom,Commuter,0,Full-Time,Undergraduate,JR - UG Junior,Transfer Student with Credits,(AS_UG_BA) Declared BA Arts & Sci,BA - Bachelor of Arts,(GGIS) Geography - Geo Info Sys (GIS),,0,New
Male,Buddhist,F1,Norway,Norway,Morrison Residence Hall,0,Full-Time,Undergraduate,SO - UG Sophomore,Transfer Student with Credits,(AS_UN_BA) Undeclared BA,BA - Bachelor of Arts,(PSYC) Psychology,,0,New
Male,Other Christian,F1,India,India,Commuter,0,Full-Time,Graduate,L1 - Law Year 1,New First Time Student,(LW_GR_JD) JD - School of Law,JD - Juris Doctor,(LAWS) Law,,0,New
Female,Decline to Respond,F1,China,Sri Lanka,Morrison Residence Hall,0,Full-Time,Undergraduate,FR - UG Freshman,New First Time Student,(AS_UN_BA) Undeclared BA,BA - Bachelor of Arts,(BUMK) Bus Admin - Marketing Mgmt,,0,New
Female,Muslim,F1,Somalia,Norway,Commuter,0,Full-Time,Undergraduate,SO - UG Sophomore,New First Time Student,(AS_UN_BA) Undeclared BA,BA - Bachelor of Arts,(POLS) Political Science,,0,New
Female,Other Christian,F1,Norway,Norway,Morrison Residence Hall,0,Full-Time,Undergraduate,FR - UG Freshman,New First Time Student,(AS_UN_BA) Undeclared BA,BA - Bachelor of Arts,(XMED) Pre-Medicine,,0,New
Female,Decline to Respond,F1,Viet Nam,Viet Nam,Commuter,0,Full-Time,Undergraduate,FR - UG Freshman,Transfer Student with Credits,(AS_UN_BA) Undeclared BA,BA - Bachelor of Arts,(BUAC) Bus Admin - Accounting,,0,New
Female,No Religious Affiliation,F1,Viet Nam,Viet Nam,Commuter,0,Full-Time,Undergraduate,JR - UG Junior,Transfer Student with Credits,(AS_UN_BA) Undeclared BA,BA - Bachelor of Arts,(BUMK) Bus Admin - Marketing Mgmt,,0,New
Male,Buddhist,F1,Cambodia,Cambodia,Commuter,0,Full-Time,Undergraduate,SO - UG Sophomore,Transfer Student with Credits,(AS_UN_BSME) Undeclared BSME,BSME - BS in Mechanical Engineering,(EGM1) Mechanical Engineering,,0,New
Female,No Religious Affiliation,F1,Viet Nam,Viet Nam,Morrison Residence Hall,0,Full-Time,Undergraduate,SO - UG Sophomore,Transfer Student with Credits,(AS_UN_BA) Undeclared BA,BA - Bachelor of Arts,(XPHA) Pre-Pharmacy,,0,New
Female,No Religious Affiliation,F1,Viet Nam,Viet Nam,Commuter,0,Full-Time,Undergraduate,FR - UG Freshman,New First Time Student,(AS_UN_BSCPE) Undeclared BSCPE,BSCPE - BS in Computer Engineering,(COEN) Computer Engineering,,0,New
Male,Decline to Respond,F1,Mongolia,Mongolia,Commuter,0,Full-Time,Undergraduate,FR - UG Freshman,New First Time Student,(AS_UN_BS) Undeclared BS,BS - Bachelor of Science,(ACSC) Actuarial Science,,0,New
Female,Lutheran (non-ELCA),F1,Iceland,Iceland,Flynn Residence Hall,0,Full-Time,Undergraduate,SO - UG Sophomore,New First Time Student,(AS_UN_BA) Undeclared BA,BA - Bachelor of Arts,(BIOL) Biology,,0,New
Female,Roman Catholic,F1,Singapore,Indonesia,Flynn Residence Hall,0,Full-Time,Undergraduate,FR - UG Freshman,New First Time Student,(AS_UN_BA) Undeclared BA,BA - Bachelor of Arts,(BUGB) Bus Admin - Gen Business Mgmt,,0,New
Female,No Religious Affiliation,F1,Brazil,Brazil,Commuter,0,Full-Time,Undergraduate,JR - UG Junior,Transfer Student with Credits,(BU_UG_BA) Declared BA Coll of Bus,BA - Bachelor of Arts,(BUIB) Bus Admin - Intl Business,,0,New
Male,Decline to Respond,F1,China,China,Commuter,0,Full-Time,Graduate,L1 - Law Year 1,New First Time Student,(LW_GR_JD) JD - School of Law,JD - Juris Doctor,(LAWS) Law,,0,New
Male,Decline to Respond,F1,India,India,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(BU_FT_MBA) Full-Time MBA,MBA - Master-Business Administration,(FTMB) Business Administration,,0,New
Male,Roman Catholic,F1,China,China,Commuter,0,Full-Time,Undergraduate,FR - UG Freshman,New First Time Student,(AS_UN_BSME) Undeclared BSME,BSME - BS in Mechanical Engineering,(EGM1) Mechanical Engineering,,0,New
Female,Decline to Respond,F1,China,China,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(BU_FT_MBA) Full-Time MBA,MBA - Master-Business Administration,(FTMB) Business Administration,,0,New
Female,,F1,Slovakia,Slovakia,Commuter,0,Full-Time,Graduate,L1 - Law Year 1,New First Time Student,(LW_GR_JD) JD - School of Law,JD - Juris Doctor,(LAWS) Law,,0,New
Male,Decline to Respond,F1,Viet Nam,Viet Nam,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(BU_FT_MBA) Full-Time MBA,MBA - Master-Business Administration,(FTMB) Business Administration,,0,New
Female,Decline to Respond,F1,Brazil,Brazil,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(BU_FT_MBA) Full-Time MBA,MBA - Master-Business Administration,(FTMB) Business Administration,,0,New
Female,Muslim,F1,Indonesia,Indonesia,Commuter,0,Full-Time,Undergraduate,FR - UG Freshman,New First Time Student,(AS_UN_BA) Undeclared BA,BA - Bachelor of Arts,(PSYC) Psychology,,0,New
Male,Decline to Respond,F2,Saudi Arabia,Saudi Arabia,Commuter,0,Half-Time,Graduate,GR - Graduate Student,New First Time Student,(ET_GR_NDO) Non-Degree - Eng. & Tech. Mgmt,NDO - No Degree Offered,(NDND) Non-Degree,,0,New
Female,Decline to Respond,FP,India,India,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(SE_GR_MS) MS - Software Engineering,MS - Master of Science,(MSDS) Data Science,,0,New
